feature,pos_missing_rate,neg_missing_rate,missing_gap,drop
Acc_P8_6th,0.0,0.0,0.0,False
Acc_P8_7th,0.0,0.0,0.0,False
Acc_P8_8th,0.0,0.0,0.0,False
Acc_P5_9th,0.0,0.0,0.0,False
Acc_P9_10th,0.0,0.0,0.0,False
Acc_P9_1th,0.0,0.0,0.0,False
Acc_P9_2th,0.0,0.0,0.0,False
Acc_P9_3th,0.0,0.0,0.0,False
Acc_P9_4th,0.0,0.0,0.0,False
Acc_P9_5th,0.0,0.0,0.0,False
Acc_P9_6th,0.0,0.0,0.0,False
Acc_P9_7th,0.0,0.0,0.0,False
Acc_P6_8th,0.0,0.0,0.0,False
Acc_P8_9th,0.0,0.0,0.0,False
Acc_P6_10th,0.0,0.0,0.0,False
Acc_P6_1th,0.0,0.0,0.0,False
Acc_P6_2th,0.0,0.0,0.0,False
Acc_P6_3th,0.0,0.0,0.0,False
Acc_P6_4th,0.0,0.0,0.0,False
Acc_P6_5th,0.0,0.0,0.0,False
Acc_P6_6th,0.0,0.0,0.0,False
Acc_P6_7th,0.0,0.0,0.0,False
Acc_P7_8th,0.0,0.0,0.0,False
Acc_P6_9th,0.0,0.0,0.0,False
Acc_P7_10th,0.0,0.0,0.0,False
Acc_P7_1th,0.0,0.0,0.0,False
Acc_P7_2th,0.0,0.0,0.0,False
Acc_P7_3th,0.0,0.0,0.0,False
Acc_P7_4th,0.0,0.0,0.0,False
Acc_P7_5th,0.0,0.0,0.0,False
Acc_P7_6th,0.0,0.0,0.0,False
Acc_P7_7th,0.0,0.0,0.0,False
canonic_seed,0.0,0.0,0.0,False
Acc_P31_7th,0.0,0.0,0.0,False
Acc_P31_8th,0.0,0.0,0.0,False
Acc_P31_9th,0.0,0.0,0.0,False
Acc_P32_10th,0.0,0.0,0.0,False
Acc_P32_1th,0.0,0.0,0.0,False
Acc_P32_2th,0.0,0.0,0.0,False
Acc_P32_3th,0.0,0.0,0.0,False
Acc_P32_4th,0.0,0.0,0.0,False
Acc_P37_2th,0.0,0.0,0.0,False
Acc_P32_6th,0.0,0.0,0.0,False
Acc_P32_7th,0.0,0.0,0.0,False
Acc_P32_8th,0.0,0.0,0.0,False
Acc_P32_9th,0.0,0.0,0.0,False
Acc_P33_10th,0.0,0.0,0.0,False
Acc_P33_1th,0.0,0.0,0.0,False
Acc_P33_2th,0.0,0.0,0.0,False
Acc_P33_3th,0.0,0.0,0.0,False
Acc_P32_5th,0.0,0.0,0.0,False
Acc_P2_8th,0.0,0.0,0.0,False
Acc_P2_9th,0.0,0.0,0.0,False
Acc_P30_10th,0.0,0.0,0.0,False
Acc_P30_1th,0.0,0.0,0.0,False
Acc_P30_2th,0.0,0.0,0.0,False
Acc_P30_3th,0.0,0.0,0.0,False
Acc_P30_4th,0.0,0.0,0.0,False
Acc_P30_5th,0.0,0.0,0.0,False
Acc_P31_6th,0.0,0.0,0.0,False
Acc_P30_7th,0.0,0.0,0.0,False
Acc_P30_8th,0.0,0.0,0.0,False
Acc_P30_9th,0.0,0.0,0.0,False
Acc_P31_10th,0.0,0.0,0.0,False
Acc_P31_1th,0.0,0.0,0.0,False
Acc_P31_2th,0.0,0.0,0.0,False
Acc_P31_3th,0.0,0.0,0.0,False
Acc_P31_4th,0.0,0.0,0.0,False
Acc_P31_5th,0.0,0.0,0.0,False
Acc_P30_6th,0.0,0.0,0.0,False
Acc_P35_4th,0.0,0.0,0.0,False
Acc_P35_5th,0.0,0.0,0.0,False
Acc_P35_6th,0.0,0.0,0.0,False
Acc_P35_7th,0.0,0.0,0.0,False
Acc_P35_8th,0.0,0.0,0.0,False
Acc_P35_9th,0.0,0.0,0.0,False
Acc_P36_10th,0.0,0.0,0.0,False
Acc_P36_1th,0.0,0.0,0.0,False
Acc_P33_4th,0.0,0.0,0.0,False
Acc_P36_3th,0.0,0.0,0.0,False
Acc_P36_4th,0.0,0.0,0.0,False
Acc_P36_5th,0.0,0.0,0.0,False
Acc_P36_6th,0.0,0.0,0.0,False
Acc_P36_7th,0.0,0.0,0.0,False
Acc_P36_8th,0.0,0.0,0.0,False
Acc_P36_9th,0.0,0.0,0.0,False
Acc_P37_10th,0.0,0.0,0.0,False
Acc_P37_1th,0.0,0.0,0.0,False
Acc_P36_2th,0.0,0.0,0.0,False
Acc_P33_5th,0.0,0.0,0.0,False
Acc_P33_6th,0.0,0.0,0.0,False
Acc_P33_7th,0.0,0.0,0.0,False
Acc_P33_8th,0.0,0.0,0.0,False
Acc_P33_9th,0.0,0.0,0.0,False
Acc_P34_10th,0.0,0.0,0.0,False
Acc_P34_1th,0.0,0.0,0.0,False
Acc_P34_2th,0.0,0.0,0.0,False
