feature,pos_missing_rate,neg_missing_rate,missing_rate_gap,missing_auc_abs,pos_unique_non_na,neg_unique_non_na
HotPairingMRNA_he_P1_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P1_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P1_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P1_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P2_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P2_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P2_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P2_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P2_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P3_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P3_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P3_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P3_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P3_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P4_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P4_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P4_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P4_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P4_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P5_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P5_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P5_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P5_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P5_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P6_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P6_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P6_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P6_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P6_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P7_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P7_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P7_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P7_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P7_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P8_L1,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P8_L2,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P8_L3,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P8_L4,0.0,0.0,0.0,0.5,2,2
HotPairingMRNA_he_P8_L5,0.0,0.0,0.0,0.5,1,1
HotPairingMRNA_he_P9_L1,0.0,0.0,0.0,0.5,2,2
